"Provincia";"CCAA";"Lat";"Long";"date";"confirmados";"fallecidos";"recuperados"
;"Cataluña";41,81;1,47;2020-03-18;1866;41;
;"Ceuta";35,8866;-5,3;2020-03-18;1;0;
;"C. Valenciana";39,5;-0,75;2020-03-18;726;22;
;"Extremadura";39,2;-6,15;2020-03-18;194;6;
;"Galicia";42,75;-7,8833;2020-03-18;341;3;
;"Madrid";40,4188;-3,6919;2020-03-18;5637;390;
;"Melilla";35,2825;-2,9475;2020-03-18;20;0;
;"Murcia";38;-1,83333;2020-03-18;122;0;
;"Navarra";42,8166;-1,65;2020-03-18;386;3;
;"País Vasco";42,9896;-2,6189;2020-03-18;973;40;
;"La Rioja";42,25;-2,5;2020-03-18;419;5;
;"España";40;-4;2020-03-18;13716;598;1081
;"Andalucía";37,46;-4,16;2020-03-19;1008;23;
;"Aragón";41;-1;2020-03-19;281;15;
;"Asturias";43,3333;-6;2020-03-19;292;1;
;"Baleares";39,5;3;2020-03-19;169;2;
;"Canarias";28,536;-15,749;2020-03-19;220;3;
;"Cantabria";43,3333;-4;2020-03-19;83;1;
;"Castilla La Mancha";39,5;-3;2020-03-19;801;42;
;"Castilla y León";41,3833;-4,45;2020-03-19;868;29;
;"Cataluña";41,81;1,47;2020-03-19;2702;55;
;"Ceuta";35,8866;-5,3;2020-03-19;1;0;
;"C. Valenciana";39,5;-0,75;2020-03-19;921;24;
;"Extremadura";39,2;-6,15;2020-03-19;241;8;
;"Galicia";42,75;-7,8833;2020-03-19;453;4;
;"Madrid";40,4188;-3,6919;2020-03-19;6777;498;
;"Melilla";35,2825;-2,9475;2020-03-19;23;0;
;"Murcia";38;-1,83333;2020-03-19;167;0;
;"Navarra";42,8166;-1,65;2020-03-19;482;4;
;"País Vasco";42,9896;-2,6189;2020-03-19;1190;53;
;"La Rioja";42,25;-2,5;2020-03-19;468;5;
;"España";40;-4;2020-03-19;17147;767;1107
;"Andalucía";37,46;-4,16;2020-03-20;1287;30;
;"Aragón";41;-1;2020-03-20;360;17;
;"Asturias";43,3333;-6;2020-03-20;344;2;
;"Baleares";39,5;3;2020-03-20;203;2;
;"Canarias";28,536;-15,749;2020-03-20;287;4;
;"Cantabria";43,3333;-4;2020-03-20;144;1;
;"Castilla La Mancha";39,5;-3;2020-03-20;1044;62;
;"Castilla y León";41,3833;-4,45;2020-03-20;1147;43;
;"Cataluña";41,81;1,47;2020-03-20;3270;82;
;"Ceuta";35,8866;-5,3;2020-03-20;5;0;
;"C. Valenciana";39,5;-0,75;2020-03-20;1105;33;
;"Extremadura";39,2;-6,15;2020-03-20;297;10;
;"Galicia";42,75;-7,8833;2020-03-20;578;5;
;"Madrid";40,4188;-3,6919;2020-03-20;7165;628;
;"Melilla";35,2825;-2,9475;2020-03-20;24;0;
;"Murcia";38;-1,83333;2020-03-20;204;0;
;"Navarra";42,8166;-1,65;2020-03-20;554;5;
;"País Vasco";42,9896;-2,6189;2020-03-20;1465;71;
;"La Rioja";42,25;-2,5;2020-03-20;497;7;
;"España";40;-4;2020-03-20;19980;1002;1585
;"Andalucía";37,46;-4,16;2020-03-21;1515;40;
;"Aragón";41;-1;2020-03-21;424;22;
;"Asturias";43,3333;-6;2020-03-21;486;5;
;"Baleares";39,5;3;2020-03-21;246;4;
;"Canarias";28,536;-15,749;2020-03-21;348;7;
;"Cantabria";43,3333;-4;2020-03-21;215;2;
;"Castilla La Mancha";39,5;-3;2020-03-21;1423;84;
;"Castilla y León";41,3833;-4,45;2020-03-21;1466;55;
;"Cataluña";41,81;1,47;2020-03-21;4203;122;
;"Ceuta";35,8866;-5,3;2020-03-21;5;0;
;"C. Valenciana";39,5;-0,75;2020-03-21;1363;50;
;"Extremadura";39,2;-6,15;2020-03-21;354;12;
;"Galicia";42,75;-7,8833;2020-03-21;739;9;
;"Madrid";40,4188;-3,6919;2020-03-21;8921;804;
;"Melilla";35,2825;-2,9475;2020-03-21;25;0;
;"Murcia";38;-1,83333;2020-03-21;240;1;
;"Navarra";42,8166;-1,65;2020-03-21;664;9;
;"País Vasco";42,9896;-2,6189;2020-03-21;1725;85;
;"La Rioja";42,25;-2,5;2020-03-21;564;15;
;"España";40;-4;2020-03-21;24926;1326;2125
;"Andalucía";37,46;-4,16;2020-03-22;1725;47;
;"Aragón";41;-1;2020-03-22;532;24;
;"Asturias";43,3333;-6;2020-03-22;545;8;
;"Baleares";39,5;3;2020-03-22;331;4;
;"Canarias";28,536;-15,749;2020-03-22;414;9;
;"Cantabria";43,3333;-4;2020-03-22;282;5;
;"Castilla La Mancha";39,5;-3;2020-03-22;1819;112;
;"Castilla y León";41,3833;-4,45;2020-03-22;1744;74;
;"Cataluña";41,81;1,47;2020-03-22;4704;191;
;"Ceuta";35,8866;-5,3;2020-03-22;5;0;
;"C. Valenciana";39,5;-0,75;2020-03-22;1604;69;
;"Extremadura";39,2;-6,15;2020-03-22;384;14;
;"Galicia";42,75;-7,8833;2020-03-22;915;12;
;"Madrid";40,4188;-3,6919;2020-03-22;9702;1021;
;"Melilla";35,2825;-2,9475;2020-03-22;25;0;
;"Murcia";38;-1,83333;2020-03-22;296;1;
;"Navarra";42,8166;-1,65;2020-03-22;794;14;
;"País Vasco";42,9896;-2,6189;2020-03-22;2097;97;
;"La Rioja";42,25;-2,5;2020-03-22;654;18;
;"España";40;-4;2020-03-22;28572;1720;2575
;"Andalucía";37,46;-4,16;2020-03-23;1961;58;50
;"Aragón";41;-1;2020-03-23;638;32;3
;"Asturias";43,3333;-6;2020-03-23;594;12;21
;"Baleares";39,5;3;2020-03-23;400;10;18
;"Canarias";28,536;-15,749;2020-03-23;481;11;7
;"Cantabria";43,3333;-4;2020-03-23;347;6;11
;"Castilla La Mancha";39,5;-3;2020-03-23;2078;145;51
;"Castilla y León";41,3833;-4,45;2020-03-23;2055;102;117
;"Cataluña";41,81;1,47;2020-03-23;5925;245;644
;"Ceuta";35,8866;-5,3;2020-03-23;6;0;0
;"C. Valenciana";39,5;-0,75;2020-03-23;1901;94;36
;"Extremadura";39,2;-6,15;2020-03-23;493;18;6
;"Galicia";42,75;-7,8833;2020-03-23;1208;18;19
;"Madrid";40,4188;-3,6919;2020-03-23;10575;1263;2063
;"Melilla";35,2825;-2,9475;2020-03-23;28;0;0
;"Murcia";38;-1,83333;2020-03-23;345;2;1
;"Navarra";42,8166;-1,65;2020-03-23;886;24;7
;"País Vasco";42,9896;-2,6189;2020-03-23;2421;120;283
;"La Rioja";42,25;-2,5;2020-03-23;747;22;18
;"España";40;-4;2020-03-23;33089;2182;3355
;"Andalucía";37,46;-4,16;2020-03-24;2471;87;66
;"Aragón";41;-1;2020-03-24;758;37;3
;"Asturias";43,3333;-6;2020-03-24;662;22;30
;"Baleares";39,5;3;2020-03-24;478;10;19
;"Canarias";28,536;-15,749;2020-03-24;557;16;8
;"Cantabria";43,3333;-4;2020-03-24;425;9;12
